phylum,family,count
Bacillota,Peptostreptococcaceae,22986
Pseudomonadota,Comamonadaceae,12710
Bacillota,Oscillospiraceae,9577
Bacillota,Christensenellaceae,6791
Bacillota,Clostridiaceae,4891
Bacillota,Carnobacteriaceae,3266
Actinomycetota,Microbacteriaceae,1424
Bacillota,Acidaminococcaceae,1324
Bacillota,Lachnospiraceae,1050
Bacillota,Acutalibacteraceae,859
Synergistota,Synergistaceae,842
Bacillota,Bacillaceae,796
Bacillota,Eubacteriales Family XIII. Incertae Sedis,759
Pseudomonadota,Alcaligenaceae,745
Bacillota,Eubacteriales_Incertae_sedis,704
Bacillota,Cellulosilyticaceae,662
Bacillota,Eubacteriaceae,565
Campylobacterota,Arcobacteraceae,520
Pseudomonadota,Moraxellaceae,494
Bacillota,Anaerovoracaceae,461
Bacillota,Tissierellia_Incertae_sedis,460
Pseudomonadota,Sterolibacteriaceae,395
Bacillota,Paenibacillaceae,388
Planctomycetota,Thermoguttaceae,352
Actinomycetota,Eggerthellaceae,346
Chloroflexota,Anaerolineaceae,339
Bacillota,Sporomusaceae,329
Bacillota,Syntrophomonadaceae,324
Pseudomonadota,Azonexaceae,322
Actinomycetota,Corynebacteriaceae,313
Bacillota,Desulfotomaculaceae,285
Bacillota,Peptococcaceae,253
Bacillota,Peptoniphilaceae,227
Bacillota,Lactobacillaceae,207
Planctomycetota,Lacipirellulaceae,173
Candidatus Melainabacteria,Vampirovibrionales_Incertae_sedis,168
Planctomycetota,Pirellulaceae,164
Actinomycetota,Propionibacteriaceae,153
Actinomycetota,Atopobiaceae,141
Pseudomonadota,Burkholderiales_Incertae_sedis,139
Bacillota,Aerococcaceae,123
Bacteroidota,Prolixibacteraceae,118
Pseudomonadota,Pseudomonadaceae,102
Bacillota,Tissierellaceae,98
Bacillota,Desulfitobacteriaceae,96
Actinomycetota,Dietziaceae,90
Actinomycetota,Miltoncostaeaceae,82
Bacillota,Monoglobaceae,79
Pseudomonadota,Rhodocyclaceae,75
Actinomycetota,Dermatophilaceae,71
Chloroflexota,Caldilineaceae,67
Thermodesulfobacteriota,Desulfobulbaceae,67
Bacillota,Yeguiaceae,64
Bacteroidota,Dysgonomonadaceae,64
Thermodesulfobacteriota,Syntrophaceae,64
Pseudomonadota,Rhizobiaceae,63
Armatimonadota,Armatimonadaceae,61
Bacillota,Desulfallaceae,57
Chloroflexota,Dehalococcoidaceae,49
Bacillota,Streptococcaceae,48
Bacteroidota,Tannerellaceae,48
Ignavibacteriota,Ignavibacteriaceae,47
Kiritimatiellota,Tichowtungiaceae,47
