phylum,genus,count
Bacillota,Romboutsia,14589
Pseudomonadota,Comamonas,10972
Bacillota,Paraclostridium,7098
Bacillota,Clostridium,4684
Bacillota,Trichococcus,2878
Bacillota,Luoshenia,2719
Bacillota,Christensenella,2249
Bacillota,Acetivibrio,1963
Actinomycetota,Leucobacter,1395
Bacillota,Saccharofermentans,1322
Bacillota,Sporobacter,1215
Bacillota,Guopingia,1115
Bacillota,Acidaminococcus,1072
Synergistota,Cloacibacillus,806
Bacillota,Gehongia,708
Bacillota,Terrisporobacter,694
Pseudomonadota,Giesbergeria,679
Bacillota,Cellulosilyticum,662
Bacillota,Ruminiclostridium,647
Pseudomonadota,Advenella,617
Bacillota,Anaerotruncus,568
Bacillota,Bacillus,559
Pseudomonadota,Acinetobacter,494
Pseudomonadota,Hydrogenophaga,471
Bacillota,Provencibacterium,460
Bacillota,Sedimentibacter,459
Bacillota,Sinanaerobacter,457
Campylobacterota,Arcobacter,442
Bacillota,Ruthenibacterium,410
Bacillota,Eubacterium,407
Bacillota,Caproicibacter,373
Bacillota,Gemmiger,356
Planctomycetota,Thermostilla,350
Pseudomonadota,Denitratisoma,347
Bacillota,Jeotgalibaca,338
Bacillota,Intestinibacter,319
Actinomycetota,Corynebacterium,313
Bacillota,Harryflintia,308
Bacillota,Oscillibacter,308
Bacillota,Paenibacillus,304
Bacillota,Aminipila,302
Bacillota,Syntrophomonas,298
Actinomycetota,Raoultibacter,290
Bacillota,Intestinimonas,269
Bacillota,Phascolarctobacterium,242
Bacillota,Faecalimicrobium,240
Bacillota,Papillibacter,240
Bacillota,Lentihominibacter,226
Bacillota,Pseudoruminococcus,223
Bacillota,Vescimonas,221
Pseudomonadota,Paenacidovorax,203
Chloroflexota,Levilinea,186
Pseudomonadota,Azonexus,180
Bacillota,Neglectibacter,178
Bacillota,Ruminococcus,169
Candidatus Melainabacteria,Vampirovibrio,168
Bacillota,Sporomusa,164
Bacillota,Ercella,163
Bacillota,Limosilactobacillus,148
Bacillota,Ruminococcoides,146
Bacillota,Thermoclostridium,146
Bacillota,Pelotomaculum,144
Bacillota,Cryptanaerobacter,139
Bacillota,Dehalobacterium,135
Bacillota,Hydrogeniiclostridium,135
Pseudomonadota,Aquabacterium,132
Bacillota,Anaerofustis,127
Bacillota,Miniphocaeibacter,124
Pseudomonadota,Dechloromonas,122
Bacillota,Enterocloster,119
Bacillota,Faecalicatena,119
Bacillota,Oscillospiraceae_Incertae_sedis,117
Actinomycetota,Olsenella,116
Bacillota,Vulcanibacillus,103
Bacillota,Emergencia,99
Pseudomonadota,Pseudomonas,99
Bacillota,Ethanoligenens,97
Pseudomonadota,Simplicispira,96
Bacteroidota,Puteibacter,95
Chloroflexota,Leptolinea,94
Bacillota,Propionispora,93
Bacillota,Massiliimalia,92
Planctomycetota,Lignipirellula,91
Actinomycetota,Dietzia,90
Bacillota,Porcincola,89
Bacillota,Tissierella,86
Bacillota,Pseudobacteroides,84
Actinomycetota,Miltoncostaea,82
Bacillota,Monoglobus,79
Bacillota,Proteiniclasticum,79
Campylobacterota,Aliarcobacter,78
Bacillota,Anaeromassilibacillus,72
Bacillota,Lacrimispora,72
Planctomycetota,Posidoniimonas,70
Bacillota,Solibaculum,67
Bacillota,Petroclostridium,65
Bacillota,Yeguia,64
Thermodesulfobacteriota,Syntrophus,64
Pseudomonadota,Limnohabitans,63
Armatimonadota,Armatimonas,61
Bacillota,Congzhengia,60
Pseudomonadota,Ottowia,58
Bacillota,Thermanaerosceptrum,56
Chloroflexota,Caldilinea,55
Bacillota,Mediterraneibacter,54
Bacillota,Brevibacillus,52
Bacillota,Fundicoccus,52
Bacillota,Pygmaiobacter,50
Pseudomonadota,Pusillimonas,50
Bacillota,Desulfosporosinus,48
Bacillota,Roseburia,48
Bacillota,Streptococcus,48
Bacteroidota,Fermentimonas,48
Bacillota,Caproiciproducens,47
Bacillota,Konateibacter,47
Bacillota,Massilioclostridium,47
Bacteroidota,Parabacteroides,47
Ignavibacteriota,Ignavibacterium,47
Kiritimatiellota,Tichowtungia,47
Bacillota,Ructibacterium,46
Bacillota,Lysinibacillus,45
Bacillota,Flavonifractor,44
Bacillota,Pseudoflavonifractor,44
Bacillota,Waltera,44
Thermodesulfobacteriota,Smithella,43
Actinomycetota,Propioniciclava,42
Bacillota,Kineothrix,42
Bacillota,Neofamilia,42
Thermodesulfobacteriota,Desulfobulbus,42
Bacteroidota,Paludibacter,41
Bacillota,Bacilliculturomica,40
Bacillota,Ihubacter,40
Bacillota,Alkalibacterium,39
Bacillota,Angelakisella,39
Bacillota,Blautia,39
Bacillota,Feifania,39
Bacillota,Hydrogenoanaerobacterium,39
Bacillota,Desulfoscipio,38
Bacillota,Gallicola,38
Bacillota,Merdimmobilis,38
Campylobacterota,Sulfurospirillum,38
Pseudomonadota,Curvibacter,38
Bacillota,Acetanaerobacterium,37
Bacillota,Citroniella,37
Pseudomonadota,Georgfuchsia,37
Bacillota,Butyrivibrio,36
Bacillota,Dehalobacter,36
Bacteroidota,Alistipes,36
Actinomycetota,Piscicoccus,35
Pseudomonadota,Stenotrophomonas,35
Bacillota,Caldicoprobacter,34
Bacillota,Anaerotignum,33
Bacillota,Sporanaerobacter,33
Actinomycetota,Actinotalea,31
Bacillota,Asaccharospora,31
Bacillota,Enterococcus,31
Bacillota,Peptococcus,31
Pseudomonadota,Ciceribacter,31
Actinomycetota,Dermatophilus,30
Bacillota,Allofournierella,30
Bacillota,Anaeroarcus,30
Planctomycetota,Pseudobythopirellula,30
Pseudomonadota,Thauera,30
Synergistota,Thermanaerovibrio,30
Bacillota,Lactiplantibacillus,29
Bacillota,Suicoccus,29
Pseudomonadota,Dechlorobacter,29
Bacillota,Marseillibacter,28
Chloroflexota,Dehalococcoides,28
Planctomycetota,Pirellulimonas,28
Actinomycetota,Adlercreutzia,27
Verrucomicrobiota,Limisphaera,27
Actinomycetota,Georgenia,26
Bacillota,Coprococcus,25
Ignavibacteriota,Melioribacter,25
Pseudomonadota,Parapusillimonas,25
Bacillota,Anaerobium,24
Bacillota,Anaerocolumna,24
Bacillota,Negativibacillus,24
Bacillota,Sarcina,24
Bacteroidota,Phocaeicola,24
Thermodesulfobacteriota,Desulfoprunum,24
Thermodesulfobacteriota,Syntrophorhabdus,24
Actinomycetota,Desertihabitans,23
Bacillota,Lachnoclostridium,22
Bacillota,Marasmitruncus,22
Fibrobacterota,Chitinispirillum,22
Pseudomonadota,Acidovorax,22
Synergistota,Aminivibrio,22
Bacillota,Priestia,21
Chloroflexota,Dehalogenimonas,21
Actinomycetota,Brooklawnia,20
Bacillota,Alkalibaculum,20
Bacillota,Alkaliphilus,20
Bacillota,Anaerostipes,20
Bacillota,Propionispira,20
Bacillota,Turicibacter,20
Planctomycetota,Anatilimnocola,20
Planctomycetota,Blastopirellula,20
Planctomycetota,Lacipirellula,20
Pseudomonadota,Ferribacterium,20
Spirochaetota,Sphaerochaeta,20
Bacillota,Syntrophococcus,19
Campylobacterota,Sulfuricurvum,19
Cyanobacteriota,Gloeobacter,19
Pseudomonadota,Azospira,19
Pseudomonadota,Rhodoferax,19
Synergistota,Lactivibrio,19
Bacillota,Anaerovorax,18
Bacillota,Faecalimonas,18
Bacillota,Fusibacter,18
Bacillota,Weissella,18
Lentisphaerota,Victivallis,18
Planctomycetota,Botrimarina,18
Pseudomonadota,Camelimonas,18
Verrucomicrobiota,Akkermansia,18
Actinomycetota,Tessaracoccus,17
Bacillota,Anaerobacterium,17
Bacillota,Shouchella,17
Bacillota,Thermobacillus,17
Pseudomonadota,Paracandidimonas,17
Thermodesulfobacteriota,Pelobacter,17
Bacillota,Alkalicoccobacillus,16
Bacillota,Lawsonibacter,16
Bacillota,Ruoffia,16
Bacillota,Solibacillus,16
Bacillota,Syntrophothermus,16
Bacillota,Wansuia,16
Chloroflexota,Anaerolinea,16
Planctomycetota,Stieleria,16
Pseudomonadota,Brachymonas,16
Pseudomonadota,Diaphorobacter,16
Pseudomonadota,Paracidovorax,16
Actinomycetota,Gordonibacter,15
Bacillota,Acetoanaerobium,15
Bacillota,Fumia,15
Planctomycetota,Anaerohalosphaera,15
Pseudomonadota,Parasulfuritortus,15
Thermodesulfobacteriota,Desulfomicrobium,15
Bacteroidota,Lascolabacillus,14
Pseudomonadota,Methylibium,14
Pseudomonadota,Rhizobium,14
Synergistota,Thermovirga,14
Thermodesulfobacteriota,Desulfuromonas,14
Actinomycetota,Mariniluteicoccus,13
Actinomycetota,Parafannyhessea,13
Actinomycetota,Streptomyces,13
Bacillota,Anaerotaenia,13
Bacillota,Guggenheimella,13
Bacillota,Mobilitalea,13
Bacillota,Thermacetogenium,13
Bacillota,Thermosinus,13
Actinomycetota,Enemella,12
Actinomycetota,Solirubrobacter,12
Bacillota,Diplocloster,12
Bacillota,Herbinix,12
Bacillota,Hornefia,12
Bacillota,Robinsoniella,12
Bacteroidota,Proteiniphilum,12
Chloroflexota,Bellilinea,12
Chloroflexota,Litorilinea,12
Pseudomonadota,Pseudacidovorax,12
Bacillota,Anaerobutyricum,11
Bacillota,Butyricicoccus,11
Bacillota,Caloramator,11
Bacillota,Dysosmobacter,11
Bacillota,Facklamia,11
Bacillota,Howardella,11
Bacillota,Tepidimicrobium,11
Chloroflexota,Longilinea,11
Chloroflexota,Pelolinea,11
Planctomycetota,Bremerella,11
Pseudomonadota,Azovibrio,11
Pseudomonadota,Paracoccus,11
Thermodesulfobacteriota,Desulfovibrio,11
Actinomycetota,Gordonia,10
Actinomycetota,Patulibacter,10
Bacillota,Clostridioides,10
Bacillota,Eubacteriales Family XIII. Incertae Sedis_Incertae_sedis,10
Bacillota,Paludihabitans,10
Bacillota,Pelosinus,10
Bacillota,Sporotomaculum,10
Bacillota,Tepidibaculum,10
Bacillota,Tyzzerella,10
Bacillota,Xylanibacillus,10
Kiritimatiellota,Kiritimatiella,10
Pseudomonadota,Devosia,10
Pseudomonadota,Propionivibrio,10
Pseudomonadota,Sphingobium,10
Thermodesulfobacteriota,Syntrophotalea,10
Thermodesulfobacteriota,Trichlorobacter,10
