phylum_clean,count,rel
Bacillota,58284,0.511012134390124
Unclassified,33500,0.293715367889458
Pseudomonadota,15399,0.135012625377008
Actinomycetota,2886,0.0253033597531037
Synergistota,907,0.00795223399032054
Planctomycetota,705,0.00618117416006172
Campylobacterota,578,0.00506768604895841
Chloroflexota,456,0.00399803605246546
Bacteroidota,401,0.00351581679175142
Thermodesulfobacteriota,322,0.00282317458090762
Candidatus Melainabacteria,168,0.00147296065090833
Ignavibacteriota,72,0.000631268850389282
Armatimonadota,70,0.000613733604545136
Verrucomicrobiota,64,0.000561127867012695
Kiritimatiellota,57,0.000499754506558182
Spirochaetota,46,0.000403310654415375
Cyanobacteriota,26,0.000227958195973908
Fibrobacterota,22,0.000192887704285614
Lentisphaerota,19,0.000166584835519394
Elusimicrobiota,14,0.000122746720909027
Myxococcota,12,0.00010521147506488
Mycoplasmatota,9,7.89086062986603e-05
Atribacterota,8,7.01409833765869e-05
Bdellovibrionota,7,6.13733604545136e-05
Thermomicrobiota,7,6.13733604545136e-05
Acidobacteriota,5,4.38381146103668e-05
Fusobacteriota,4,3.50704916882935e-05
Nitrospinota,3,2.63028687662201e-05
Deinococcota,2,1.75352458441467e-05
Calditrichota,1,8.76762292207337e-06
Chlorobiota,1,8.76762292207337e-06
Methanobacteriota,1,8.76762292207337e-06
