SampleID	Depth	RankCode	NodeName	TaxonPath	TaxID	Status	ResolutionSource
Helga-16SrRNA-NCBI	1	D	Bacteria	Bacteria	2	Resolved	source_cache
Helga-16SrRNA-NCBI	2	K	Pseudomonadati	Bacteria;Pseudomonadati	3379134	Resolved	source_cache
Helga-16SrRNA-NCBI	3	P	Pseudomonadota	Bacteria;Pseudomonadati;Pseudomonadota	1224	Resolved	source_cache
Helga-16SrRNA-NCBI	4	C	Betaproteobacteria	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria	28216	Resolved	source_cache
Helga-16SrRNA-NCBI	5	O	Nitrosomonadales	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales	32003	Resolved	source_cache
Helga-16SrRNA-NCBI	6	F	Methylophilaceae	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae	32011	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Methylobacillus	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	404	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Methylobacillus flagellatus	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus;Methylobacillus flagellatus	405	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Methylobacillus glycogenes	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus;Methylobacillus glycogenes	406	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Methylobacillus arboreus	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus;Methylobacillus arboreus	755170	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Methylobacillus rhizosphaerae	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus;Methylobacillus rhizosphaerae	551994	Resolved	assignment
Helga-16SrRNA-NCBI	8	S	Methylobacillus methanolivorans	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus;Methylobacillus methanolivorans	1848927	Resolved	assignment
Helga-16SrRNA-NCBI	7	G	Pseudomethylobacillus	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Pseudomethylobacillus	2676063	Resolved	source_cache
Helga-16SrRNA-NCBI	8	S	Pseudomethylobacillus aquaticus	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Pseudomethylobacillus;Pseudomethylobacillus aquaticus	2676064	Resolved	source_cache
Helga-16SrRNA-NCBI	7	G	Methylovorus	Bacteria;Pseudomonadati;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylovorus	81682	Resolved	source_cache
