TaxonPath	TaxID	ResolutionSource
Bacteria	2	source_cache
Bacteria;Bacillati	1783272	source_cache
Bacteria;Bacillati;Actinomycetota	201174	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia	84992	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales	84993	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae	633392	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola	0	unresolved
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola;Actinomarinicola tropica	2789776	assignment
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans	1648491	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Aquihabitans;Aquihabitans daechungensis	1052257	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola	2820403	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola;Rhabdothermincola salaria	2903142	assignment
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Rhabdothermincola;Rhabdothermincola sediminis	2751370	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae	2448023	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Desertimonas	0	unresolved
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Desertimonas;Desertimonas flava	2064846	assignment
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter	682522	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter fluminis	467091	source_cache
Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Ilumatobacter;Ilumatobacter nonamiensis	1313171	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes	1760	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus;Acidothermus cellulolyticus	28049	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;Frankia alni	326424	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Pseudofrankia	0	unresolved
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Pseudofrankia;Pseudofrankia asymbiotica	1834516	assignment
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales	1643682	source_cache
Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae	85030	source_cache
