Depth	NodeName	TaxonPath
7	Actinomarinicola	Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Iamiaceae;Actinomarinicola
7	Desertimonas	Bacteria;Bacillati;Actinomycetota;Acidimicrobiia;Acidimicrobiales;Ilumatobacteraceae;Desertimonas
5	Acidothermales	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales
6	Acidothermaceae	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae
7	Acidothermus	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Acidothermales;Acidothermaceae;Acidothermus
5	Frankiales	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales
6	Frankiaceae	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae
7	Frankia	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia
7	Pseudofrankia	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Pseudofrankia
7	Geodermatophilus	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Geodermatophilus
7	Klenkia	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Klenkia
7	Modestobacter	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Geodermatophilales;Geodermatophilaceae;Modestobacter
5	Jatrophihabitantales	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Jatrophihabitantales
6	Jatrophihabitantaceae	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Jatrophihabitantales;Jatrophihabitantaceae
7	Jatrophihabitans	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Jatrophihabitantales;Jatrophihabitantaceae;Jatrophihabitans
6	Demequinaceae	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Demequinaceae
7	Demequina	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Demequinaceae;Demequina
7	Aquiluna	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Aquiluna
7	Candidatus Planktoluna	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Candidatus Planktoluna
7	Leifsonia	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Leifsonia
7	Naasia	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Naasia
7	Pontimonas	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Pontimonas
7	Rhodoluna	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Micrococcales;Microbacteriaceae;Rhodoluna
7	Mycobacterium	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium
7	Rhodococcoides	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcoides
5	Nakamurellales	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales
6	Nakamurellaceae	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae
7	Nakamurella	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Nakamurellales;Nakamurellaceae;Nakamurella
6	Kribbellaceae	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae
7	Kribbella	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Propionibacteriales;Kribbellaceae;Kribbella
7	Longivirga	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Longivirga
7	Sporichthya	Bacteria;Bacillati;Actinomycetota;Actinomycetes;Sporichthyales;Sporichthyaceae;Sporichthya
6	Parviterribacteraceae	Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae
7	Parviterribacter	Bacteria;Bacillati;Actinomycetota;Thermoleophilia;Solirubrobacterales;Parviterribacteraceae;Parviterribacter
5	Bacillales	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales
7	Alicyclobacillus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Alicyclobacillaceae;Alicyclobacillus
7	Cytobacillus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Cytobacillus
7	Fictibacillus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Fictibacillus
7	Gottfriedia	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Gottfriedia
7	Mesobacillus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Mesobacillus
7	Rossellomorea	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Rossellomorea
7	Sutcliffiella	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Bacillaceae;Sutcliffiella
7	Aneurinibacillus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Paenibacillaceae;Aneurinibacillus
7	Sporolactobacillus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Sporolactobacillaceae;Sporolactobacillus
7	Mammaliicoccus	Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Mammaliicoccus
4	Bacillota_Incertae_sedis	Bacteria;Bacillati;Bacillota;Bacillota_Incertae_sedis
5	Bacillota_Incertae_sedis	Bacteria;Bacillati;Bacillota;Bacillota_Incertae_sedis;Bacillota_Incertae_sedis
6	Bacillota_Incertae_sedis	Bacteria;Bacillati;Bacillota;Bacillota_Incertae_sedis;Bacillota_Incertae_sedis;Bacillota_Incertae_sedis
6	Proteinivoraceae	Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Proteinivoraceae
7	Alkalicella	Bacteria;Bacillati;Bacillota;Clostridia;Eubacteriales;Proteinivoraceae;Alkalicella
7	Lachnospira	Bacteria;Bacillati;Bacillota;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospira
4	Candidatus Thermofonsia	Bacteria;Bacillati;Chloroflexota;Candidatus Thermofonsia
5	Phototrophicales	Bacteria;Bacillati;Chloroflexota;Candidatus Thermofonsia;Phototrophicales
6	Phototrophicaceae	Bacteria;Bacillati;Chloroflexota;Candidatus Thermofonsia;Phototrophicales;Phototrophicaceae
7	Phototrophicus	Bacteria;Bacillati;Chloroflexota;Candidatus Thermofonsia;Phototrophicales;Phototrophicaceae;Phototrophicus
4	Tepidiformia	Bacteria;Bacillati;Chloroflexota;Tepidiformia
5	Tepidiformales	Bacteria;Bacillati;Chloroflexota;Tepidiformia;Tepidiformales
6	Tepidiformaceae	Bacteria;Bacillati;Chloroflexota;Tepidiformia;Tepidiformales;Tepidiformaceae
7	Tepidiforma	Bacteria;Bacillati;Chloroflexota;Tepidiformia;Tepidiformales;Tepidiformaceae;Tepidiforma
7	Alteracholeplasma	Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Alteracholeplasma
7	Mariniplasma	Bacteria;Bacillati;Mycoplasmatota;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Mariniplasma
2	Bacteria_none	Bacteria;Bacteria_none
3	Bacteria_none_none	Bacteria;Bacteria_none;Bacteria_none_none
4	Deltaproteobacteria	Bacteria;Bacteria_none;Bacteria_none_none;Deltaproteobacteria
5	Bradymonadales	Bacteria;Bacteria_none;Bacteria_none_none;Deltaproteobacteria;Bradymonadales
6	Lujinxingiaceae	Bacteria;Bacteria_none;Bacteria_none_none;Deltaproteobacteria;Bradymonadales;Lujinxingiaceae
7	Lujinxingia	Bacteria;Bacteria_none;Bacteria_none_none;Deltaproteobacteria;Bradymonadales;Lujinxingiaceae;Lujinxingia
8	Lujinxingia vulgaris	Bacteria;Bacteria_none;Bacteria_none_none;Deltaproteobacteria;Bradymonadales;Lujinxingiaceae;Lujinxingia;Lujinxingia vulgaris
4	Blastocatellia	Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia
5	Blastocatellales	Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales
6	Blastocatellaceae	Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae
7	Stenotrophobacter	Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter
7	Tellurimicrobium	Bacteria;Pseudomonadati;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Tellurimicrobium
7	Luteitalea	Bacteria;Pseudomonadati;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea
4	Chitinophagia	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia
5	Chitinophagales	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales
6	Chitinophagaceae	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae
7	Ferruginibacter	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Ferruginibacter
7	Flavihumibacter	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavihumibacter
7	Flavipsychrobacter	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavipsychrobacter
7	Flavitalea	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Flavitalea
7	Paraflavitalea	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Paraflavitalea
7	Terrimonas	Bacteria;Pseudomonadati;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Terrimonas
4	Cytophagia	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia
5	Cytophagales	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales
6	Cyclobacteriaceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae
7	Algoriphagus	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Algoriphagus
7	Aquiflexum	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Aquiflexum
7	Cecembia	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cecembia
7	Cognataquiflexum	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cognataquiflexum
7	Cyclobacterium	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Cyclobacterium
7	Echinicola	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Echinicola
7	Fontibacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cyclobacteriaceae;Fontibacter
6	Cytophagaceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae
7	Sporocytophaga	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Cytophagaceae;Sporocytophaga
6	Hymenobacteraceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae
7	Adhaeribacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Hymenobacteraceae;Adhaeribacter
6	Spirosomataceae	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae
7	Arundinibacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Arundinibacter
7	Dyadobacter	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Dyadobacter
7	Runella	Bacteria;Pseudomonadati;Bacteroidota;Cytophagia;Cytophagales;Spirosomataceae;Runella
4	Flavobacteriia	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia
5	Flavobacteriales	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales
6	Crocinitomicaceae	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae
7	Crocinitomix	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Crocinitomix
7	Fluviicola	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Fluviicola
7	Putridiphycobacter	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Crocinitomicaceae;Putridiphycobacter
6	Flavobacteriaceae	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae
7	Aequorivita	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aequorivita
7	Allomuricauda	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Allomuricauda
7	Flagellimonas	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flagellimonas
7	Flavobacterium	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
7	Jejuia	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Jejuia
7	Maribacter	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Maribacter
7	Paenimyroides	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Paenimyroides
7	Paucihalobacter	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Paucihalobacter
7	Winogradskyella	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Winogradskyella
6	Vicingaceae	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Vicingaceae
7	Vicingus	Bacteria;Pseudomonadati;Bacteroidota;Flavobacteriia;Flavobacteriales;Vicingaceae;Vicingus
6	Lewinellaceae	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae
7	Flavilitoribacter	Bacteria;Pseudomonadati;Bacteroidota;Saprospiria;Saprospirales;Lewinellaceae;Flavilitoribacter
4	Sphingobacteriia	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia
5	Sphingobacteriales	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales
6	Sphingobacteriaceae	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae
7	Solitalea	Bacteria;Pseudomonadati;Bacteroidota;Sphingobacteriia;Sphingobacteriales;Sphingobacteriaceae;Solitalea
7	Pseudobdellovibrio	Bacteria;Pseudomonadati;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Pseudobdellovibrio
7	Silvanigrella	Bacteria;Pseudomonadati;Bdellovibrionota;Oligoflexia;Silvanigrellales;Silvanigrellaceae;Silvanigrella
3	Gemmatimonadota	Bacteria;Pseudomonadati;Gemmatimonadota
4	Gemmatimonadia	Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia
5	Gemmatimonadales	Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales
6	Gemmatimonadaceae	Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae
7	Gemmatimonas	Bacteria;Pseudomonadati;Gemmatimonadota;Gemmatimonadia;Gemmatimonadales;Gemmatimonadaceae;Gemmatimonas
4	Myxococcota_Incertae_sedis	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis
7	Polyangium	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Polyangium
8	Polyangium fumosum	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Polyangium;Polyangium fumosum
8	Polyangium jinanense	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Polyangiaceae;Polyangium;Polyangium jinanense
6	Sandaracinaceae	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Sandaracinaceae
7	Sandaracinus	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Sandaracinaceae;Sandaracinus
8	Sandaracinus amylolyticus	Bacteria;Pseudomonadati;Myxococcota;Myxococcota_Incertae_sedis;Polyangiales;Sandaracinaceae;Sandaracinus;Sandaracinus amylolyticus
5	Isosphaerales	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales
6	Isosphaeraceae	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae
7	Aquisphaera	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Aquisphaera
7	Paludisphaera	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Paludisphaera
7	Singulisphaera	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Singulisphaera
7	Tautonia	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Isosphaerales;Isosphaeraceae;Tautonia
7	Novipirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Novipirellula
7	Rhodopirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rhodopirellula
7	Roseiconus	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Roseiconus
7	Rubripirellula	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Pirellulales;Pirellulaceae;Rubripirellula
5	Planctomycetales	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales
6	Planctomycetaceae	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae
7	Fuerstiella	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Fuerstiella
7	Gimesia	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Gimesia
7	Planctopirus	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Planctopirus
7	Polystyrenella	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Polystyrenella
7	Rubinisphaera	Bacteria;Pseudomonadati;Planctomycetota;Planctomycetia;Planctomycetales;Planctomycetaceae;Rubinisphaera
7	Caulobacter	Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter
7	Phenylobacterium	Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Phenylobacterium
6	Aestuariivirgaceae	Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aestuariivirgaceae
7	Aestuariivirga	Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Aestuariivirgaceae;Aestuariivirga
6	Ahrensiaceae	Bacteria;Pseudomonadati;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Ahrensiaceae
