dataset	scenario	min_identity	min_ref_coverage	inferred_taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	newly_rescued_reads
BAER	identity_89	89	90	229921	Bacteria	Bacillati	Chloroflexota	Anaerolineae	Anaerolineales	Anaerolineaceae	Levilinea	Levilinea saccharolytica	212
BAER	identity_89	89	90	525909	Bacteria	Bacillati	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiaceae	Acidimicrobium	Acidimicrobium ferrooxidans	203
BAER	identity_89	89	90	2057	Bacteria	Pseudomonadati	Thermomicrobiota	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Sphaerobacter	Sphaerobacter thermophilus	163
BAER	identity_89	89	90	2716334	Bacteria	Pseudomonadati	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Paraflavitalea	Paraflavitalea devenefica	111
BAER	identity_89	89	90	1296	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Staphylococcaceae	Mammaliicoccus	Mammaliicoccus sciuri	96
BAER	identity_89	89	90	2699427	Bacteria	Bacillati	Bacillota	unclassified Bacillota class	unclassified Bacillota order	unclassified Bacillota family	Capillibacterium	Capillibacterium thermochitinicola	84
BAER	identity_89	89	90	1229726	Bacteria	Pseudomonadati	Bacteroidota	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Christiangramia	Christiangramia flava	68
BAER	identity_89	89	90	1285583	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Mycobacteriales	Corynebacteriaceae	Corynebacterium	Corynebacterium casei	66
BAER	identity_89	89	90	1892851	Bacteria	Pseudomonadati	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Flavitalea	Flavitalea flava	61
BAER	identity_89	89	90	326424	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Frankiales	Frankiaceae	Frankia	Frankia alni	55
