dataset	scenario	min_identity	min_ref_coverage	classified_reads	newly_rescued_reads	remaining_unclassified	classified_pct	rescued_pct_of_baseline_unclassified
BAER	baseline_90_90	90	90	49206	0	25236	66.0998	0.0000
BAER	identity_89	89	90	52415	3209	22027	70.4105	12.7160
BAER	identity_88	88	90	55032	5826	19410	73.9260	23.0861
BAER	identity_87	87	90	56835	7629	17607	76.3480	30.2306
BAER	identity_85	85	90	59492	10286	14950	79.9173	40.7592
BAER	refcov_89	90	89	49503	297	24939	66.4988	1.1769
BAER	refcov_88	90	88	49912	706	24530	67.0482	2.7976
BAER	refcov_87	90	87	50813	1607	23629	68.2585	6.3679
BAER	refcov_85	90	85	53535	4329	20907	71.9150	17.1541
BAER	balanced_89	89	89	52768	3562	21674	70.8847	14.1148
BAER	balanced_88	88	88	55915	6709	18527	75.1122	26.5850
BAER	balanced_87	87	87	58869	9663	15573	79.0804	38.2905
BAER	balanced_85	85	85	65658	16452	8784	88.2002	65.1926
BANAE	baseline_90_90	90	90	30492	0	21982	58.1088	0.0000
BANAE	identity_89	89	90	32864	2372	19610	62.6291	10.7906
BANAE	identity_88	88	90	35586	5094	16888	67.8164	23.1735
BANAE	identity_87	87	90	37233	6741	15241	70.9551	30.6660
BANAE	identity_85	85	90	40055	9563	12419	76.3330	43.5038
BANAE	refcov_89	90	89	30674	182	21800	58.4556	0.8280
BANAE	refcov_88	90	88	30978	486	21496	59.0350	2.2109
BANAE	refcov_87	90	87	31516	1024	20958	60.0602	4.6584
BANAE	refcov_85	90	85	33292	2800	19182	63.4448	12.7377
BANAE	balanced_89	89	89	33101	2609	19373	63.0808	11.8688
BANAE	balanced_88	88	88	36234	5742	16240	69.0513	26.1214
BANAE	balanced_87	87	87	38718	8226	13756	73.7851	37.4215
BANAE	balanced_85	85	85	44597	14105	7877	84.9888	64.1661
BLEA	baseline_90_90	90	90	28996	0	31698	47.7741	0.0000
BLEA	identity_89	89	90	33725	4729	26969	55.5656	14.9189
BLEA	identity_88	88	90	37740	8744	22954	62.1808	27.5853
BLEA	identity_87	87	90	40734	11738	19960	67.1137	37.0307
BLEA	identity_85	85	90	43263	14267	17431	71.2805	45.0091
BLEA	refcov_89	90	89	29218	222	31476	48.1398	0.7004
BLEA	refcov_88	90	88	29640	644	31054	48.8351	2.0317
BLEA	refcov_87	90	87	30409	1413	30285	50.1022	4.4577
BLEA	refcov_85	90	85	33194	4198	27500	54.6907	13.2437
BLEA	balanced_89	89	89	34028	5032	26666	56.0648	15.8748
BLEA	balanced_88	88	88	38674	9678	22020	63.7196	30.5319
BLEA	balanced_87	87	87	42848	13852	17846	70.5968	43.6999
BLEA	balanced_85	85	85	50296	21300	10398	82.8682	67.1967
BGRN	baseline_90_90	90	90	107605	0	16878	86.4415	0.0000
BGRN	identity_89	89	90	109716	2111	14767	88.1373	12.5074
BGRN	identity_88	88	90	110972	3367	13511	89.1463	19.9490
BGRN	identity_87	87	90	111712	4107	12771	89.7408	24.3335
BGRN	identity_85	85	90	112353	4748	12130	90.2557	28.1313
BGRN	refcov_89	90	89	108298	693	16185	86.9982	4.1059
BGRN	refcov_88	90	88	109565	1960	14918	88.0160	11.6128
BGRN	refcov_87	90	87	110471	2866	14012	88.7438	16.9807
BGRN	refcov_85	90	85	113038	5433	11445	90.8060	32.1898
BGRN	balanced_89	89	89	110438	2833	14045	88.7173	16.7852
BGRN	balanced_88	88	88	113007	5402	11476	90.7811	32.0062
BGRN	balanced_87	87	87	114753	7148	9730	92.1837	42.3510
BGRN	balanced_85	85	85	118377	10772	6106	95.0949	63.8227
