dataset	min_identity	min_ref_coverage	classified_reads	newly_rescued_reads	remaining_unclassified	classified_pct	rescued_pct_of_baseline_unclassified
BAER	90	90	49206	0	25236	66.0998	0.0000
BAER	90	89	49503	297	24939	66.4988	1.1769
BAER	90	88	49912	706	24530	67.0482	2.7976
BAER	90	87	50813	1607	23629	68.2585	6.3679
BAER	90	86	51914	2708	22528	69.7375	10.7307
BAER	90	85	53535	4329	20907	71.9150	17.1541
BAER	90	84	54910	5704	19532	73.7621	22.6026
BAER	90	83	55381	6175	19061	74.3948	24.4690
BAER	90	82	55619	6413	18823	74.7145	25.4121
BAER	90	81	55838	6632	18604	75.0087	26.2799
BAER	90	80	56080	6874	18362	75.3338	27.2389
BAER	89	90	52415	3209	22027	70.4105	12.7160
BAER	89	89	52768	3562	21674	70.8847	14.1148
BAER	89	88	53223	4017	21219	71.4959	15.9177
BAER	89	87	54237	5031	20205	72.8581	19.9358
BAER	89	86	55505	6299	18937	74.5614	24.9604
BAER	89	85	57410	8204	17032	77.1204	32.5091
BAER	89	84	59024	9818	15418	79.2886	38.9047
BAER	89	83	59595	10389	14847	80.0556	41.1674
BAER	89	82	59885	10679	14557	80.4452	42.3165
BAER	89	81	60152	10946	14290	80.8038	43.3745
BAER	89	80	60428	11222	14014	81.1746	44.4682
BAER	88	90	55032	5826	19410	73.9260	23.0861
BAER	88	89	55417	6211	19025	74.4432	24.6117
BAER	88	88	55915	6709	18527	75.1122	26.5850
BAER	88	87	56993	7787	17449	76.5603	30.8567
BAER	88	86	58388	9182	16054	78.4342	36.3845
BAER	88	85	60510	11304	13932	81.2848	44.7932
BAER	88	84	62314	13108	12128	83.7081	51.9417
BAER	88	83	62966	13760	11476	84.5840	54.5253
BAER	88	82	63301	14095	11141	85.0340	55.8528
BAER	88	81	63615	14409	10827	85.4558	57.0970
BAER	88	80	63918	14712	10524	85.8628	58.2977
BAER	87	90	56835	7629	17607	76.3480	30.2306
BAER	87	89	57245	8039	17197	76.8988	31.8553
BAER	87	88	57756	8550	16686	77.5852	33.8802
BAER	87	87	58869	9663	15573	79.0804	38.2905
BAER	87	86	60342	11136	14100	81.0591	44.1274
BAER	87	85	62631	13425	11811	84.1340	53.1978
BAER	87	84	64582	15376	9860	86.7548	60.9288
BAER	87	83	65305	16099	9137	87.7260	63.7938
BAER	87	82	65672	16466	8770	88.2190	65.2481
BAER	87	81	66012	16806	8430	88.6757	66.5953
BAER	87	80	66345	17139	8097	89.1231	67.9149
BAER	86	90	58479	9273	15963	78.5565	36.7451
BAER	86	89	58895	9689	15547	79.1153	38.3936
BAER	86	88	59422	10216	15020	79.8232	40.4819
BAER	86	87	60571	11365	13871	81.3667	45.0349
BAER	86	86	62111	12905	12331	83.4354	51.1373
BAER	86	85	64516	15310	9926	86.6661	60.6673
BAER	86	84	66582	17376	7860	89.4414	68.8540
BAER	86	83	67352	18146	7090	90.4758	71.9052
BAER	86	82	67740	18534	6702	90.9970	73.4427
BAER	86	81	68101	18895	6341	91.4820	74.8732
BAER	86	80	68448	19242	5994	91.9481	76.2482
BAER	85	90	59492	10286	14950	79.9173	40.7592
BAER	85	89	59919	10713	14523	80.4909	42.4513
BAER	85	88	60455	11249	13987	81.2109	44.5752
BAER	85	87	61623	12417	12819	82.7799	49.2035
BAER	85	86	63193	13987	11249	84.8889	55.4248
BAER	85	85	65658	16452	8784	88.2002	65.1926
BAER	85	84	67799	18593	6643	91.0763	73.6765
BAER	85	83	68601	19395	5841	92.1536	76.8545
BAER	85	82	69005	19799	5437	92.6963	78.4554
BAER	85	81	69375	20169	5067	93.1934	79.9215
BAER	85	80	69738	20532	4704	93.6810	81.3600
BAER	84	90	60058	10852	14384	80.6776	43.0021
BAER	84	89	60488	11282	13954	81.2552	44.7060
BAER	84	88	61031	11825	13411	81.9846	46.8577
BAER	84	87	62208	13002	12234	83.5657	51.5216
BAER	84	86	63792	14586	10650	85.6936	57.7984
BAER	84	85	66294	17088	8148	89.0546	67.7128
BAER	84	84	68463	19257	5979	91.9682	76.3077
BAER	84	83	69279	20073	5163	93.0644	79.5411
BAER	84	82	69687	20481	4755	93.6125	81.1579
BAER	84	81	70062	20856	4380	94.1162	82.6438
BAER	84	80	70449	21243	3993	94.6361	84.1774
BAER	83	90	60376	11170	14066	81.1048	44.2622
BAER	83	89	60808	11602	13634	81.6851	45.9740
BAER	83	88	61353	12147	13089	82.4172	48.1336
BAER	83	87	62534	13328	11908	84.0037	52.8134
BAER	83	86	64127	14921	10315	86.1436	59.1259
BAER	83	85	66657	17451	7785	89.5422	69.1512
BAER	83	84	68856	19650	5586	92.4962	77.8650
BAER	83	83	69681	20475	4761	93.6044	81.1341
BAER	83	82	70096	20890	4346	94.1619	82.7786
BAER	83	81	70476	21270	3966	94.6724	84.2844
BAER	83	80	70867	21661	3575	95.1976	85.8337
BAER	82	90	60514	11308	13928	81.2901	44.8090
BAER	82	89	60948	11742	13494	81.8731	46.5288
BAER	82	88	61494	12288	12948	82.6066	48.6923
BAER	82	87	62675	13469	11767	84.1931	53.3722
BAER	82	86	64275	15069	10167	86.3424	59.7123
BAER	82	85	66814	17608	7628	89.7531	69.7733
BAER	82	84	69020	19814	5422	92.7165	78.5148
BAER	82	83	69851	20645	4591	93.8328	81.8077
BAER	82	82	70266	21060	4176	94.3903	83.4522
BAER	82	81	70653	21447	3789	94.9101	84.9857
BAER	82	80	71050	21844	3392	95.4434	86.5589
BAER	81	90	60644	11438	13798	81.4648	45.3241
BAER	81	89	61081	11875	13361	82.0518	47.0558
BAER	81	88	61628	12422	12814	82.7866	49.2233
BAER	81	87	62811	13605	11631	84.3758	53.9111
BAER	81	86	64418	15212	10024	86.5345	60.2790
BAER	81	85	66963	17757	7479	89.9533	70.3638
BAER	81	84	69188	19982	5254	92.9422	79.1805
BAER	81	83	70024	20818	4418	94.0652	82.4933
BAER	81	82	70439	21233	4003	94.6227	84.1377
BAER	81	81	70831	21625	3611	95.1492	85.6911
BAER	81	80	71233	22027	3209	95.6893	87.2840
BAER	80	90	60773	11567	13669	81.6381	45.8353
BAER	80	89	61211	12005	13231	82.2264	47.5709
BAER	80	88	61760	12554	12682	82.9639	49.7464
BAER	80	87	62944	13738	11498	84.5544	54.4381
BAER	80	86	64553	15347	9889	86.7158	60.8139
BAER	80	85	67114	17908	7328	90.1561	70.9621
BAER	80	84	69349	20143	5093	93.1584	79.8185
BAER	80	83	70186	20980	4256	94.2828	83.1352
BAER	80	82	70602	21396	3840	94.8416	84.7836
BAER	80	81	71000	21794	3442	95.3763	86.3608
BAER	80	80	71406	22200	3036	95.9217	87.9696
BANAE	90	90	30492	0	21982	58.1088	0.0000
BANAE	90	89	30674	182	21800	58.4556	0.8280
BANAE	90	88	30978	486	21496	59.0350	2.2109
BANAE	90	87	31516	1024	20958	60.0602	4.6584
BANAE	90	86	32327	1835	20147	61.6057	8.3477
BANAE	90	85	33292	2800	19182	63.4448	12.7377
BANAE	90	84	34338	3846	18136	65.4381	17.4961
BANAE	90	83	34690	4198	17784	66.1089	19.0974
BANAE	90	82	34834	4342	17640	66.3834	19.7525
BANAE	90	81	34946	4454	17528	66.5968	20.2620
BANAE	90	80	35094	4602	17380	66.8788	20.9353
BANAE	89	90	32864	2372	19610	62.6291	10.7906
BANAE	89	89	33101	2609	19373	63.0808	11.8688
BANAE	89	88	33452	2960	19022	63.7497	13.4656
BANAE	89	87	34114	3622	18360	65.0112	16.4771
BANAE	89	86	35060	4568	17414	66.8140	20.7806
BANAE	89	85	36246	5754	16228	69.0742	26.1760
BANAE	89	84	37468	6976	15006	71.4030	31.7351
BANAE	89	83	37883	7391	14591	72.1938	33.6230
BANAE	89	82	38053	7561	14421	72.5178	34.3963
BANAE	89	81	38195	7703	14279	72.7884	35.0423
BANAE	89	80	38375	7883	14099	73.1315	35.8612
BANAE	88	90	35586	5094	16888	67.8164	23.1735
BANAE	88	89	35856	5364	16618	68.3310	24.4018
BANAE	88	88	36234	5742	16240	69.0513	26.1214
BANAE	88	87	36964	6472	15510	70.4425	29.4423
BANAE	88	86	38037	7545	14437	72.4873	34.3235
BANAE	88	85	39398	8906	13076	75.0810	40.5150
