reference	startpos	ref length	number of reads	covbases	% coverage	meandepth	meanbaseq	meanmapq	taxid	superkingdom	kingdom	phylum	class	order	family	genus	species	mean	sd	Coefficient of Variance	pcreads
NG_041947.1	1	1641	37	1424	86.7764	28.8391	35.5	1.3	394503	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Ruminiclostridium	Ruminiclostridium cellulolyticum	28.839122486288847	13.503233375768787	0.4682262222849779	0.04
NG_042070.1	1	1721	16	1473	85.5898	12.8338	38.8	1.12	86170	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Syntrophomonadaceae	Syntrophothermus	Syntrophothermus lipocalidus	12.833817547937246	5.613778590500924	0.43742078843899534	0.02
NG_042882.1	1	1760	1	1080	61.3636	0.613636	33.9	0.0	287948	Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter mastomyrinus	0.6136363636363636	0.4869155746733768	0.7934920476158733	0.0
NG_042883.1	1	1614	1	689	42.689	0.42689	42.3	1.0	76936	Bacteria	Pseudomonadati	Campylobacterota	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter typhlonius	0.42688971499380424	0.4946260064193065	1.1586739831070545	0.0
NR_024691.1	1	1529	2	1486	97.1877	1.77894	35.8	10.0	86664	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia flexa	1.778940483976455	0.4779520046615427	0.26867228497334517	0.0
NR_024693.1	1	1526	2	1524	99.8689	1.95872	42.0	1.0	72360	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus mojavensis	1.9587155963302751	0.20542938850707632	0.10487964097082585	0.0
NR_024695.1	1	1526	1	1277	83.6828	0.836828	38.5	1.0	86668	Bacteria	Bacillati	Bacillota	Bacilli	Bacillales	Bacillaceae	Neobacillus	Neobacillus niacini	0.8368283093053736	0.36952224567742076	0.4415747430726265	0.0
NR_024727.1	1	1472	1	1243	84.4429	0.844429	39.7	1.0	1048339	Bacteria	Bacillati	Actinomycetota	Actinomycetes	Sporichthyales	Sporichthyaceae	Sporichthya	Sporichthya polymorpha	0.8444293478260869	0.3624478229429673	0.42922220062111655	0.0
NR_024749.1	1	1465	5	1361	92.901	4.48942	36.8	1.0	84025	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Clostridiaceae	Clostridium	Clostridium haemolyticum	4.489419795221843	1.3908737173058114	0.3098114635628727	0.01
NR_024750.1	1	1315	9	1311	99.6958	8.53232	40.1	28.6	116085	Bacteria	Bacillati	Bacillota	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	Coprococcus catus	8.532319391634982	1.1807635687186713	0.13838717405214374	0.01
NR_024777.1	1	1506	1	1346	89.3758	0.893758	27.2	1.0	698762	Bacteria	Bacillati	Bacillota	Clostridia	Moorellales	Moorellaceae	Thermanaeromonas	Thermanaeromonas toyohensis	0.8937583001328021	0.30814672004830124	0.34477634501689575	0.0
NR_024782.1	1	1521	16	1521	100.0	14.2262	35.7	7.69	164759	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	Diaphorobacter nitroreducens	14.226166995397765	3.0440766630990757	0.21397729016423395	0.02
NR_024814.1	1	1383	9	1336	96.6016	7.80622	39.6	4.44	227924	Bacteria	Thermotogati	Deinococcota	Deinococci	Thermales	Thermaceae	Oceanithermus	Oceanithermus desulfurans	7.8062183658712945	2.0946625905093113	0.2683325641602795	0.01
NR_024815.1	1	1490	1	1460	97.9866	0.979866	31.5	1.0	228603	Bacteria	Pseudomonadati	Bacteroidota	Bacteroidia	Bacteroidales	Prevotellaceae	Hoylesella	Hoylesella shahii	0.9798657718120806	0.14045939286212472	0.14334554477025058	0.0
NR_024829.1	1	1447	120	1447	100.0	113.79	37.9	6.72	253314	Bacteria	Bacillati	Bacillota	Clostridia	Eubacteriales	Oscillospiraceae	Acetivibrio	Acetivibrio straminisolvens	113.78991015894955	10.526044071392585	0.09250419529015433	0.13
NR_024852.1	1	1436	4	1406	97.9109	3.80014	41.2	4.5	146939	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	Azospira oryzae	3.800139275766017	0.7600945422727271	0.20001754859879717	0.0
NR_024853.1	1	1475	2	1473	99.8644	1.91932	39.0	30.5	146940	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Azonexaceae	Azonexus	Azonexus fungiphilus	1.919322033898305	0.2772740454751747	0.14446457685478017	0.0
NR_024855.1	1	1485	1	1452	97.7778	0.977778	24.9	43.0	65401	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	Propionivibrio pelophilus	0.9777777777777777	0.14740554623801733	0.15075567228888137	0.0
NR_024858.1	1	1547	1	1277	82.5469	0.825469	38.2	1.0	66835	Bacteria	Pseudomonadati	Thermodesulfobacteriota	Desulfobacteria	Desulfobacterales	Desulfobacteraceae	Desulfocella	Desulfocella halophila	0.8254686489980607	0.3795657499292806	0.45981849267078867	0.0
NR_024874.1	1	1416	17	1416	100.0	16.1532	35.4	4.06	70584	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales family	Aquabacterium	Aquabacterium parvum	16.153248587570623	1.8521908421124766	0.11466367474451392	0.02
NR_024875.1	1	1416	93	1416	100.0	89.9901	38.5	23.2	70586	Bacteria	Pseudomonadati	Pseudomonadota	Betaproteobacteria	Burkholderiales	unclassified Burkholderiales family	Aquabacterium	Aquabacterium commune	89.99011299435028	6.396606046473701	0.0710812091865613	0.1
